id,name,path_name,updated_at
292,"中学生用学習ソフト その他","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > その他中学生学習ソフト",2015-09-30
293,"高校生用国語学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 高校生用国語",2014-09-10
294,"高校生用数学学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 高校生用数学",2014-09-10
295,"高校生用理科学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 高校生用理科",2014-09-10
296,"高校生用世界史、日本史学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 高校生用世界史、日本史",2014-09-10
297,"高校生用英語学習ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 高校生用英語",2014-09-10
298,"高校生用学習ソフト その他","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > その他高校生学習ソフト",2015-09-30
300,"子供用お絵かきソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 子供用お絵かき",2014-09-10
301,"幼児教育、知育ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 幼児教育、知育",2014-09-10
302,"幼児用絵本ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 幼児用絵本",2014-09-10
303,"幼児用音楽ソフト","スマホ、タブレット、パソコン > ソフトウェア > 教育、学習 > 幼児用音楽",2014-09-10
307,"ラベル印刷ソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > ラベル印刷",2014-09-03
309,"家計簿ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 家計簿ソフト",2015-09-30
312,"生活、実用ソフト その他","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > その他生活、実用ソフト",2015-09-30
316,"PC用電子コミック、アニメソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 電子コミック、アニメソフト",2015-09-30
328,"パソコン用天文、自然、生物関連ソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 天文、自然、生物ソフト",2015-09-30
332,"姓名判断、占いソフト","スマホ、タブレット、パソコン > ソフトウェア > 生活、実用ソフト > 姓名判断、占いソフト",2015-09-30
342,"ビジネスマナーソフト","スマホ、タブレット、パソコン > ソフトウェア > ビジネスソフト > ビジネスマナー",2014-09-10
343,"建築積算ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 建築積算",2014-09-10
344,"農業簿記ソフト","スマホ、タブレット、パソコン > ソフトウェア > 業務管理、会計ソフト > 農業簿記",2014-09-10
533,アイロン本体その他,"家電 > 生活家電 > アイロン > その他アイロン本体",2015-09-25
535,シーリングファン,"家具、インテリア > 照明器具、電球 > 天井照明、シーリングライト > シーリングファン",2014-10-03
545,蛍光灯,"家具、インテリア > 照明器具、電球 > 蛍光灯",2016-07-27
559,シャンデリア、LEDシャンデリア,"家具、インテリア > 照明器具、電球 > 天井照明、シーリングライト > シャンデリア",2014-10-03
560,直付スポットライト,"家具、インテリア > 照明器具、電球 > 天井照明、シーリングライト > 直付スポットライト",2014-10-03
561,スポットライト、LEDスポットライト,"家具、インテリア > 照明器具、電球 > 天井照明、シーリングライト > スポットライト",2014-10-03
562,テーブルスタンドライト,"家具、インテリア > 照明器具、電球 > 卓上ライト、フロアライト > テーブルスタンドライト",2016-07-27
